Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86420,10110.35,10061.11,9892.205,9961.29,9221.8604867492,9994.356
86421,10147.24,10059.182,9971.309,10017.312,9266.419530740748,9869.138
86422,10175.82,10078.376,10091.293,10026.268,9281.142415678269,9903.45
86423,10173.61,10090.917,10139.623,9971.209,9356.710243622116,9935.755
86424,10206.990000000002,10155.852,10131.905,10071.871,9342.283383434453,9938.12
86425,10277.8,10217.249,10112.542,9990.949,9369.013012467429,9970.146
86426,10316.92,10256.664,10062.927,9977.744,9369.595517739828,9868.79
86427,10343.71,10239.705,10028.147,9888.8,9369.290501886404,9788.772
86428,10320.83,10220.507,9996.251,10119.6,9406.352595285194,9848.221
86429,10394.41,10168.3125,9943.129,10169.965,9429.421208756272,9878.738
86430,10425.31,10106.739,9900.149,10201.124,9448.735086864828,9882.173
86431,10389.64,10041.713,9840.476,10142.17,9467.905260317571,9886.933
86432,10280.01,9945.31,9780.236,9981.752,9472.674555254349,9857.105
86433,10109.29,9813.684,9721.1455,10035.069,9469.85569474704,9821.091
86434,9720.02,9676.236,9643.621,9713.049,9466.945810746543,9806.532
86435,9469.66,9487.269,9516.902,9615.753,9474.517168418726,9702.377
86436,9099.85,9412.141,9418.308,9454.553,9472.17003925843,9671.768
86437,8935.96,9236.024,9320.565,9436.133,9468.970815681005,9514.201
86438,8966.7,9098.227,9243.388,9329.442,9465.125486098472,9355.999
86439,9020.98,8977.74,9247.957,9364.252,9438.817970959622,9265.812
86440,8850.09,8923.967,9254.128,8825.588,9448.923571125912,9138.986
86441,8575.67,8842.198,9171.202,8757.123,9464.389550367903,8944.322
86442,8547.27,8699.138,8975.307,8595.693,9353.071349636672,8797.28
86443,8319.89,8475.25,8817.966,8434.248,9206.494296317676,8689.111
86444,8234.43,8311.422,8597.36,8483.795,8848.602852129181,8523.234
86445,8131.17,8227.685,8390.118,8228.13,8679.022831584169,8580.592
86446,7867.710000000001,8154.069,8127.658,8051.576,8488.01156573272,8463.032
86447,7684.82,8042.4,7817.759,7627.38,8253.525768036048,8284.789
86448,7537.42,7789.0513,7583.0293,7720.7437,7995.617290568686,7890.204
86449,7316.1,7400.1147,7367.0107,7467.029,7885.783853954258,7553.9277
86450,7013.65,7171.8315,7160.312,6975.115,7867.612673125151,7050.539
86451,6763.3,6953.431,6896.749,6688.963,7863.841738615265,6840.287
86452,6589.67,6744.6562,6665.455,6664.2983,7863.125067091379,6736.468
86453,6487.090000000001,6668.863,6537.6934,6608.801,7863.125067091379,6417.3438
86454,6487.01,6692.501,6508.7417,6699.263,7863.125067091379,6521.4385
86455,6541.71,6735.151,6611.6904,6730.9106,7863.125067091379,6550.9604
86456,6794.49,6900.4106,6844.948,6800.741,7863.607301616362,6708.641
86457,7014.06,7250.067,7364.3013,7149.0117,7872.343554475546,7217.814
86458,7609.12,7538.0815,7599.5073,7699.723,7872.343554475546,7514.1045
86459,8141.29,8257.299,8072.9062,7994.3076,7901.715691755215,8046.668
86460,8557.78,8908.854,8622.1455,8575.28,7913.420663754752,8663.661
86461,8999.34,9169.787,9081.964,9088.256,8304.496072858856,9157.983
86462,9282.04,9306.597,9444.666,9356.342,8530.310325013279,9578.483
86463,9467.68,9493.155,9628.718,9421.137,8819.139322111147,9824.009
86464,9750.84,9819.727,9712.838,9840.42,9075.46321354136,9981.058
86465,9921.29,9988.612,9789.91,9927.035,9306.669956716203,10099.518
86466,10009.28,10021.359,9838.789,10085.555,9477.20612991929,10112.603
86467,10074.03,10080.07,9921.859,10060.349,9547.008611033303,10098.21
86468,10158.35,10136.369,9979.405,10058.96,9582.185595757226,10150.921
86469,9896.09,10127.653,10011.21,10101.896,9606.915734628254,10181.614
86470,10200.14,10144.89,10061.882,10059.291,9619.23200098964,10221.347
86471,10183.76,10180.457,10108.696,9895.008,9626.82385577515,10174.216
86472,10236.08,10228.739,10156.461,10183.828,9622.78299376426,10118.957
86473,10258.76,10252.671,10180.38,10041.475,9623.16326691632,10124.946
86474,10266.99,10276.442,10168.672,9969.855,9627.22479243495,10149.801
86475,10249.209999999995,10292.027,10144.032,9993.474,9628.892011424125,10167.118
86476,10174.53,10273.469,10093.907,9963.173,9628.892011424125,10176.058
86477,10249.86,10204.572,9997.356,9960.779,9628.892011424125,10154.978
86478,10231.3,10129.8955,9925.713,9987.934,9628.892011424125,10155.626
86479,10183.54,10056.214,9847.086,10010.591,9628.892011424125,10109.401
86480,10057.13,9958.983,9767.005,9996.175,9628.892011424125,10079.244
86481,9916.61,9798.395,9688.13,9961.374,9628.892011424125,10031.728
86482,9594.68,9589.753,9589.606,9547.6045,9628.892011424125,9955.911
86483,9385.62,9306.463,9395.805,9505.733,9628.519507808243,9774.581
86484,9083.01,9180.224,9222.357,9474.094,9627.076223323242,9676.745
86485,8929.99,9010.422,9050.329,9481.268,9623.03553450185,9462.14
86486,9013.56,8882.276,8956.325,9461.443,9616.877442207173,9312.094
86487,9099.69,8783.664,8943.284,9166.632,9615.72825182022,9134.861
86488,8854.170000000002,8755.383,8942.562,8883.254,9583.151182421856,8981.166
86489,8592.21,8692.498,8875.133,8562.131,9539.668510775477,8786.106
86490,8556.45,8537.519,8702.876,8426.126,9479.228816270335,8562.938
86491,8328.67,8397.126,8608.414,8495.304,9352.573499720118,8479.359
86492,8277.81,8254.594,8444.145,8487.32,8915.336216313013,8417.545
86493,8125.42,8197.649,8310.774,8156.235,8716.398242742673,8544.714
86494,7850.9,8151.7837,8117.3223,8076.6475,8496.760075175558,8501.262
86495,7648.91,8064.109,7853.395,7864.0947,8391.405349640796,8374.168
86496,7522.9,7812.195,7614.055,7618.374,8105.597404881053,7771.7593
86497,7250.11,7505.9883,7396.8354,7387.9824,7931.980079419412,7395.135
86498,6983.95,7278.062,7196.6704,7016.0713,7868.098653998558,7094.591
86499,6678.93,7001.8438,6958.728,6716.6533,7863.841738615265,6949.339
86500,6527.84,6777.3394,6708.751,6623.1304,7863.125067091379,6790.787
86501,6451.08,6671.716,6536.762,6535.306,7863.125067091379,6437.676
86502,6482.67,6677.2476,6469.641,6524.2515,7863.125067091379,6530.4897
86503,6550.38,6706.8433,6526.3647,6481.5547,7863.125067091379,6533.352
86504,6803.68,6852.5312,6741.9404,6635.427,7863.607301616362,6729.579
86505,7060.84,7202.2427,7253.919,7117.852,7872.343554475546,7286.441
86506,7542.92,7523.8403,7499.831,7647.2026,7872.343554475546,7609.358
