Date,Actual,Basic_nn
2009-07-10,11033.76,10279.331
2009-07-10,10970.3,10775.987
2009-07-10,11028.36,11217.902
2009-07-10,10983.53,11291.332
2009-07-10,10878.34,11173.347
2009-07-10,10659.58,11122.147
2009-07-10,10389.08,11032.639
2009-07-10,10291.02,10858.047
2009-07-10,10205.11,10646.004
2009-07-10,10054.85,10440.47
2009-07-10,9915.43,10280.041
2009-07-10,9752.45,10137.575
2009-07-10,9669.84,10012.192
2009-07-10,9611.01,9996.792
2009-07-10,9609.01,9947.522
2009-07-10,9744.68,9925.654
2009-07-10,9966.52,9926.531
2009-07-10,10328.92,9993.651
2009-07-10,10924.91,10178.089
2009-07-10,11490.69,10458.306
2009-07-10,11549.97,10947.6455
2009-07-10,11431.97,11535.172
2009-07-10,11148.36,11857.136
2009-07-10,10982.8,11848.983
2009-07-10,10808.19,11754.243
2009-07-10,10623.79,11637.436
2009-07-10,10366.25,11575.267
2009-07-10,10074.63,11528.2295
2009-07-10,10201.41,11371.772
2009-07-10,9921.34,11140.502
2009-07-10,9783.48,10960.328
2009-07-11,9534.36,10882.103
2009-07-11,9328.77,10628.691
2009-07-11,9025.92,10127.424
2009-07-11,8792.41,9462.566
2009-07-11,8470.85,9150.931
2009-07-11,8060.36,8940.13
2009-07-11,7648.52,8829.656
2009-07-11,7350.94,8450.438
2009-07-11,7141.91,7891.206
2009-07-11,7005.35,7399.0396
2009-07-11,7020.82,7087.8394
2009-07-11,7073.24,6886.157
2009-07-11,7282.83,6787.9746
2009-07-11,7530.13,6845.4097
2009-07-11,7918.32,7011.7856
2009-07-11,8322.95,7324.0737
2009-07-11,8971.18,7893.517
2009-07-11,9537.37,8397.614
2009-07-11,10030.91,8949.4
2009-07-11,10341.06,9826.864
2009-07-11,10348.91,10303.1
2009-07-11,10224.15,10539.922
2009-07-11,10132.46,10693.672
2009-07-11,9903.47,10652.108
2009-07-11,9719.44,10529.396
2009-07-11,9528.49,10283.852
2009-07-11,9336.22,10045.378
2009-07-11,9213.56,9784.619
2009-07-11,9125.93,9537.099
2009-07-11,9060.24,9351.987
2009-07-11,9149.44,9187.291
2009-07-11,9248.71,9031.628
2009-07-11,9358.46,8909.429
2009-07-11,9510.44,8858.889
2009-07-11,9915.47,8935.616
2009-07-11,10542.96,9037.996
2009-07-11,11063.05,9257.676
2009-07-11,11129.36,9826.895
2009-07-11,10903.11,10705.333
2009-07-11,10656.11,11288.498
2009-07-11,10446.89,11387.003
2009-07-11,10349.02,11316.504
2009-07-11,10151.26,11124.375
2009-07-11,9940.53,10893.753
2009-07-11,9721.16,10638.39
2009-07-11,9707.32,10382.672
2009-07-11,9499.37,10114.116
2009-07-11,9305.8,9923.652
2009-07-12,9021.46,9911.079
2009-07-12,8646.33,9646.983
2009-07-12,8359.19,9532.655
2009-07-12,8077.16,9173.799
2009-07-12,7787.74,8838.13
2009-07-12,7423.9,8523.344
2009-07-12,7129.83,8242.847
2009-07-12,6920.44,7823.8223
2009-07-12,6817.44,7354.1113
2009-07-12,6776.32,6979.3867
2009-07-12,6767.18,6765.116
2009-07-12,6864.92,6634.981
2009-07-12,6903.12,6570.705
2009-07-12,7123.87,6566.7505
2009-07-12,7352.91,6626.43
2009-07-12,7710.25,6795.945
2009-07-12,8249.75,7041.9995
